original_sentence,truncated_sentence
"Bette Davis, in her 1962 autobiography, claimed she named it in 1936 after her first husband, Harmon Oscar Nelson, of whom the statue's rear end reminded her.","Bette Davis, in her 1962"
"Between 1999 and 2011, Lincoln, John F.","Between 1999 and 2011, Lincoln,"
"Beyond the specific factions of anarchist movements which constitute political anarchism lies philosophical anarchism which holds that the state lacks moral legitimacy, without necessarily accepting the imperative of revolution to eliminate it.",Beyond the specific factions of
Biographers James G.,Biographers James G.
"Birmingham experienced such rapid growth it was called the ""Magic City"".",Birmingham experienced such rapid growth
"Black carbon
Another albedo-related effect on the climate is from black carbon particles.",Black carbon Another albedo-related effect
"Both Bonanno and the French group The Invisible Committee advocate for small, informal affiliation groups, where each member is responsible for their own actions but works together to bring down oppression utilizing sabotage and other violent means against state, capitalism, and other enemies.",Both Bonanno and the French
"Bruce Davis, a former executive director of the Academy, credits Eleanore Lilleberg, a secretary at the Academy when the award was first introduced, for the nickname, as she had been in charge of pre-ceremony handling of the awards.","Bruce Davis, a former executive"
Bruno Gentili and Giuseppe Paione.,Bruno Gentili and Giuseppe Paione.
"Bureau of Economic Analysis, the 2008 total gross state product was $170billion, or $29,411 per capita.","Bureau of Economic Analysis, the"
"Burnside, against presidential advice, launched an offensive across the Rappahannock River and was defeated by Lee at Fredericksburg in December.","Burnside, against presidential advice, launched"
"By 1860, the population had increased to 964,201 people, of which nearly half, 435,080, were enslaved African Americans, and 2,690 were free people of color.","By 1860, the population had"
"By contrast, ceremonies honoring films that have not performed well at the box office tend to show weaker ratings, despite how much critical acclaim those films have received.","By contrast, ceremonies honoring films"
"By the 1970s, Lincoln had become a hero to political conservatives—apart from neo-Confederates such as Mel Bradford, who denounced his treatment of the white South—for his intense nationalism, his support for business, his insistence on stopping the spread of slavery, his acting on Lockean and Burkean principles on behalf of both liberty and tradition, and his devotion to the principles of the Founding Fathers.","By the 1970s, Lincoln had"
"By the end of World War II, the anarchist movement had been severely weakened.",By the end of World
"By the end of the war, he increasingly appealed to the Almighty for solace and to explain events, writing on April 4, 1864, to a newspaper editor in Kentucky: This spirituality can best be seen in his second inaugural address, considered by some scholars as the greatest such address in American history, and by Lincoln himself as his own greatest speech, or one of them at the very least.",By the end of the
"By the latest decades of the 20th century, anarchists and feminists were advocating for the rights and autonomy of women, gays, queers and other marginalised groups, with some feminist thinkers suggesting a fusion of the two currents.",By the latest decades of
"By the quality and simplicity of his rhetoric, he quickly became the champion of the Republican party.",By the quality and simplicity
"By the turn of the 20th century, anarchism had spread all over the world.",By the turn of the
"Cahaba, now a ghost town, was the first permanent state capital from 1820 to 1825.","Cahaba, now a ghost town,"
"Campbell-Watson simplified the instrumentation by reducing the saxophones to only three instruments: alto, tenor and baritone; the soprano and alto saxophone doublings were eliminated to avoid changing instruments.",Campbell-Watson simplified the instrumentation by
Carr (1962) and Reynolds v.,Carr (1962) and Reynolds v.
"Chance as an incidental cause lies in the realm of accidental things, ""from what is spontaneous"".",Chance as an incidental cause
Charles Darwin regarded Aristotle as the most important contributor to the subject of biology.,Charles Darwin regarded Aristotle as
"Clouds
Cloud albedo has substantial influence over atmospheric temperatures.",Clouds Cloud albedo has substantial
"Collections of works
 
 At Massachusetts Institute of Technology
 
 
 
 
  Perseus Project at Tufts University
 At the University of Adelaide 
  P.",Collections of works At Massachusetts
